2021-08-24 08:35:06 INFO  LocationSelection:25 - inside find location
2021-08-24 08:35:06 INFO  LocationSelection:21 - inside find location
2021-08-24 08:35:06 INFO  LocationSelection:25 - inside find locationTurkey
2021-08-24 08:35:06 INFO  LocationSelection:25 - inside find locationSouth Africa
2021-08-24 08:37:30 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:37:31 INFO  LaunchBrowser:17 - test started
2021-08-24 08:37:34 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-24 08:37:35 INFO  LocationSelection:21 - inside find location
2021-08-24 08:37:35 INFO  LocationSelection:21 - inside find location
2021-08-24 08:37:35 INFO  LocationSelection:21 - inside find location
2021-08-24 08:37:35 INFO  LocationSelection:21 - inside find location
2021-08-24 08:37:35 INFO  LocationSelection:21 - inside find locationTurkey
2021-08-24 08:37:35 INFO  LocationSelection:21 - inside find locationSouth Africa
2021-08-24 09:30:59 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 09:31:00 INFO  LaunchBrowser:17 - test started
2021-08-24 09:31:07 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-24 09:31:07 INFO  LocationSelection:21 - inside find location
2021-08-24 09:31:07 INFO  LocationSelection:21 - inside find location
2021-08-24 09:31:07 INFO  LocationSelection:21 - inside find location
2021-08-24 09:31:07 INFO  LocationSelection:21 - inside find location
2021-08-24 09:31:07 INFO  LocationSelection:21 - inside find locationTurkey
2021-08-24 09:31:07 INFO  LocationSelection:21 - inside find locationSouth Africa
2021-08-24 09:41:55 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 09:41:56 INFO  LaunchBrowser:17 - test started
2021-08-24 09:42:03 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-24 09:42:03 INFO  LocationSelection:21 - inside find location
2021-08-24 09:42:03 INFO  LocationSelection:21 - inside find location
2021-08-24 09:42:03 INFO  LocationSelection:21 - inside find location
2021-08-24 09:42:03 INFO  LocationSelection:21 - inside find location
2021-08-24 09:42:03 INFO  LocationSelection:21 - inside find locationTurkey
2021-08-24 09:42:03 INFO  LocationSelection:21 - inside find locationSouth Africa
2021-08-24 09:58:03 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 09:58:04 INFO  LaunchBrowser:17 - test started
2021-08-24 09:58:10 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-24 09:58:10 INFO  LocationSelection:21 - inside find location
2021-08-24 09:58:10 INFO  LocationSelection:21 - inside find location
2021-08-24 09:58:10 INFO  LocationSelection:21 - inside find location
2021-08-24 09:58:10 INFO  LocationSelection:21 - inside find location
2021-08-24 09:58:10 INFO  LocationSelection:21 - inside find locationTurkey
2021-08-24 09:58:10 INFO  LocationSelection:21 - inside find locationSouth Africa
2021-08-24 09:59:31 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 09:59:32 INFO  LaunchBrowser:17 - test started
2021-08-24 09:59:37 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-24 09:59:37 INFO  LocationSelection:21 - inside find location
2021-08-24 09:59:37 INFO  LocationSelection:21 - inside find location
2021-08-24 09:59:37 INFO  LocationSelection:21 - inside find location
2021-08-24 09:59:37 INFO  LocationSelection:21 - inside find location
2021-08-24 09:59:37 INFO  LocationSelection:21 - inside find locationTurkey
2021-08-24 09:59:37 INFO  LocationSelection:21 - inside find locationSouth Africa
2021-08-24 10:22:06 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 10:22:08 INFO  LaunchBrowser:17 - test started
2021-08-24 10:22:13 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-24 10:22:13 INFO  LocationSelection:21 - inside find location
2021-08-24 10:22:13 INFO  LocationSelection:21 - inside find location
2021-08-24 10:22:13 INFO  LocationSelection:21 - inside find location
2021-08-24 10:22:13 INFO  LocationSelection:21 - inside find location
2021-08-24 10:22:13 INFO  LocationSelection:21 - inside find locationTurkey
2021-08-24 10:22:13 INFO  LocationSelection:21 - inside find locationSouth Africa
2021-08-24 10:24:08 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 10:24:09 INFO  LaunchBrowser:17 - test started
2021-08-24 10:24:13 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-24 10:24:13 INFO  LocationSelection:21 - inside find location
2021-08-24 10:24:14 INFO  LocationSelection:21 - inside find location
2021-08-24 10:24:14 INFO  LocationSelection:21 - inside find location
2021-08-24 10:24:14 INFO  LocationSelection:21 - inside find location
2021-08-24 10:24:14 INFO  LocationSelection:21 - inside find locationTurkey
2021-08-24 10:24:14 INFO  LocationSelection:21 - inside find locationSouth Africa
2021-08-25 07:40:19 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 07:40:22 INFO  LaunchBrowser:17 - test started
2021-08-25 07:40:26 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-25 07:40:26 INFO  LocationSelection:21 - inside find location
2021-08-25 07:40:26 INFO  LocationSelection:21 - inside find location
2021-08-25 07:40:26 INFO  LocationSelection:21 - inside find location
2021-08-25 07:40:26 INFO  LocationSelection:21 - inside find location
2021-08-25 07:40:26 INFO  LocationSelection:21 - inside find locationTurkey
2021-08-25 07:40:26 INFO  LocationSelection:21 - inside find locationSouth Africa
2021-08-25 07:44:21 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 07:44:23 INFO  LaunchBrowser:17 - test started
2021-08-25 07:54:34 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 07:54:36 INFO  LaunchBrowser:17 - test started
2021-08-25 07:55:27 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 07:55:28 INFO  LaunchBrowser:17 - test started
2021-08-25 08:05:23 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 08:05:25 INFO  LaunchBrowser:17 - test started
2021-08-25 08:21:13 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 08:21:15 INFO  LaunchBrowser:17 - test started
2021-08-25 08:25:46 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 08:25:48 INFO  LaunchBrowser:17 - test started
2021-08-25 08:33:36 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 08:33:38 INFO  LaunchBrowser:17 - test started
2021-08-25 08:35:11 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 08:35:13 INFO  LaunchBrowser:17 - test started
2021-08-25 08:40:30 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 09:04:08 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 09:04:13 INFO  LaunchBrowser:17 - test started
2021-08-25 09:07:30 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 09:07:31 INFO  LaunchBrowser:17 - test started
2021-08-25 09:08:35 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 09:08:36 INFO  LaunchBrowser:17 - test started
2021-08-25 09:09:57 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 09:09:58 INFO  LaunchBrowser:17 - test started
2021-08-25 11:33:25 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 11:33:27 INFO  LaunchBrowser:17 - test started
2021-08-25 11:45:57 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 11:45:59 INFO  LaunchBrowser:17 - test started
2021-08-25 11:47:00 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 11:47:02 INFO  LaunchBrowser:17 - test started
2021-08-25 11:51:03 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 11:51:04 INFO  LaunchBrowser:17 - test started
2021-08-25 11:57:04 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 11:57:06 INFO  LaunchBrowser:17 - test started
2021-08-25 11:58:48 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 11:58:50 INFO  LaunchBrowser:17 - test started
2021-08-25 12:04:08 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:04:10 INFO  LaunchBrowser:17 - test started
2021-08-25 12:10:29 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:10:30 INFO  LaunchBrowser:17 - test started
2021-08-25 12:12:06 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:12:07 INFO  LaunchBrowser:17 - test started
2021-08-25 12:13:47 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:13:49 INFO  LaunchBrowser:17 - test started
2021-08-25 12:19:51 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:19:53 INFO  LaunchBrowser:17 - test started
2021-08-25 12:21:49 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:21:50 INFO  LaunchBrowser:17 - test started
2021-08-25 12:22:28 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:22:29 INFO  LaunchBrowser:17 - test started
2021-08-25 12:23:43 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:23:45 INFO  LaunchBrowser:17 - test started
2021-08-25 12:25:10 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:25:11 INFO  LaunchBrowser:17 - test started
2021-08-25 12:25:53 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:25:54 INFO  LaunchBrowser:17 - test started
2021-08-25 12:27:10 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-25 12:27:12 INFO  LaunchBrowser:17 - test started
2021-08-25 12:32:15 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
